index, timestamp, power.draw [W]
0, 2024/08/08 23:24:37.019, 37.54
0, 2024/08/08 23:24:37.523, 37.45
0, 2024/08/08 23:24:38.026, 37.45
0, 2024/08/08 23:24:38.529, 37.55
0, 2024/08/08 23:24:39.033, 37.72
0, 2024/08/08 23:24:39.536, 37.84
0, 2024/08/08 23:24:40.039, 37.45
0, 2024/08/08 23:24:40.543, 37.45
0, 2024/08/08 23:24:41.046, 37.45
0, 2024/08/08 23:24:41.549, 37.47
0, 2024/08/08 23:24:42.052, 37.44
0, 2024/08/08 23:24:42.555, 37.45
0, 2024/08/08 23:24:43.058, 37.45
0, 2024/08/08 23:24:43.562, 37.55
0, 2024/08/08 23:24:44.065, 37.45
0, 2024/08/08 23:24:44.568, 37.55
0, 2024/08/08 23:24:45.071, 37.45
0, 2024/08/08 23:24:45.575, 37.55
0, 2024/08/08 23:24:46.078, 37.45
0, 2024/08/08 23:24:46.581, 37.55
0, 2024/08/08 23:24:47.084, 37.45
0, 2024/08/08 23:24:47.587, 37.45
0, 2024/08/08 23:24:48.090, 37.45
0, 2024/08/08 23:24:48.593, 37.45
0, 2024/08/08 23:24:49.097, 37.55
0, 2024/08/08 23:24:49.600, 37.56
0, 2024/08/08 23:24:50.103, 37.55
0, 2024/08/08 23:24:50.606, 37.45
0, 2024/08/08 23:24:51.109, 37.55
0, 2024/08/08 23:24:51.612, 37.55
0, 2024/08/08 23:24:52.115, 37.45
0, 2024/08/08 23:24:52.618, 37.45
0, 2024/08/08 23:24:53.121, 37.55
0, 2024/08/08 23:24:53.625, 37.74
0, 2024/08/08 23:24:54.128, 37.94
0, 2024/08/08 23:24:54.631, 37.45
0, 2024/08/08 23:24:55.134, 37.43
0, 2024/08/08 23:24:55.637, 37.45
0, 2024/08/08 23:24:56.140, 37.47
0, 2024/08/08 23:24:56.643, 37.45
0, 2024/08/08 23:24:57.147, 37.55
0, 2024/08/08 23:24:57.650, 37.45
0, 2024/08/08 23:24:58.153, 37.55
0, 2024/08/08 23:24:58.656, 37.45
0, 2024/08/08 23:24:59.159, 37.55
0, 2024/08/08 23:24:59.662, 37.43
0, 2024/08/08 23:25:00.165, 37.55
0, 2024/08/08 23:25:00.669, 37.74
0, 2024/08/08 23:25:01.173, 37.55
0, 2024/08/08 23:25:01.677, 37.45
0, 2024/08/08 23:25:02.180, 37.45
0, 2024/08/08 23:25:02.683, 37.45
0, 2024/08/08 23:25:03.187, 37.43
0, 2024/08/08 23:25:03.691, 37.94
0, 2024/08/08 23:25:04.196, 37.54
0, 2024/08/08 23:25:04.700, 37.38
0, 2024/08/08 23:25:05.203, 37.55
0, 2024/08/08 23:25:05.706, 37.45
0, 2024/08/08 23:25:06.210, 37.45
0, 2024/08/08 23:25:06.713, 37.74
0, 2024/08/08 23:25:07.216, 37.74
0, 2024/08/08 23:25:07.720, 37.74
0, 2024/08/08 23:25:08.223, 37.55
0, 2024/08/08 23:25:08.726, 37.44
0, 2024/08/08 23:25:09.230, 37.74
0, 2024/08/08 23:25:09.733, 37.55
0, 2024/08/08 23:25:10.236, 37.45
0, 2024/08/08 23:25:10.739, 37.53
0, 2024/08/08 23:25:11.243, 37.54
0, 2024/08/08 23:25:11.746, 37.82
0, 2024/08/08 23:25:12.249, 37.84
0, 2024/08/08 23:25:12.752, 37.45
0, 2024/08/08 23:25:13.256, 37.45
0, 2024/08/08 23:25:13.759, 37.34
0, 2024/08/08 23:25:14.262, 37.55
0, 2024/08/08 23:25:14.765, 37.43
0, 2024/08/08 23:25:15.269, 37.55
0, 2024/08/08 23:25:15.772, 37.45
0, 2024/08/08 23:25:16.275, 37.65
0, 2024/08/08 23:25:16.778, 37.45
0, 2024/08/08 23:25:17.281, 37.55
0, 2024/08/08 23:25:17.785, 37.72
0, 2024/08/08 23:25:18.288, 37.45
0, 2024/08/08 23:25:18.791, 37.45
0, 2024/08/08 23:25:19.294, 37.45
0, 2024/08/08 23:25:19.797, 37.45
0, 2024/08/08 23:25:20.301, 37.45
0, 2024/08/08 23:25:20.805, 37.45
0, 2024/08/08 23:25:21.309, 37.76
0, 2024/08/08 23:25:21.812, 37.84
0, 2024/08/08 23:25:22.316, 37.55
0, 2024/08/08 23:25:22.819, 37.73
0, 2024/08/08 23:25:23.322, 37.73
0, 2024/08/08 23:25:23.825, 37.45
0, 2024/08/08 23:25:24.328, 37.45
0, 2024/08/08 23:25:24.831, 37.74
0, 2024/08/08 23:25:25.334, 37.45
0, 2024/08/08 23:25:25.838, 37.55
0, 2024/08/08 23:25:26.341, 37.45
0, 2024/08/08 23:25:26.844, 37.52
0, 2024/08/08 23:25:27.351, 37.45
0, 2024/08/08 23:25:27.855, 37.47
0, 2024/08/08 23:25:28.359, 37.84
0, 2024/08/08 23:25:28.863, 37.44
0, 2024/08/08 23:25:29.367, 37.45
0, 2024/08/08 23:25:29.870, 37.45
0, 2024/08/08 23:25:30.374, 37.45
0, 2024/08/08 23:25:30.877, 37.45
0, 2024/08/08 23:25:31.381, 37.45
0, 2024/08/08 23:25:31.884, 37.54
0, 2024/08/08 23:25:32.388, 37.45
0, 2024/08/08 23:25:32.891, 37.55
0, 2024/08/08 23:25:33.394, 37.45
0, 2024/08/08 23:25:33.897, 37.55
0, 2024/08/08 23:25:34.400, 37.44
0, 2024/08/08 23:25:34.903, 37.45
0, 2024/08/08 23:25:35.406, 37.45
0, 2024/08/08 23:25:35.909, 37.55
0, 2024/08/08 23:25:36.413, 37.45
0, 2024/08/08 23:25:36.916, 37.45
0, 2024/08/08 23:25:37.419, 37.45
0, 2024/08/08 23:25:37.923, 37.73
0, 2024/08/08 23:25:38.427, 37.84
0, 2024/08/08 23:25:38.933, 37.45
0, 2024/08/08 23:25:39.436, 37.45
0, 2024/08/08 23:25:39.939, 37.74
0, 2024/08/08 23:25:40.443, 37.46
0, 2024/08/08 23:25:40.946, 37.45
0, 2024/08/08 23:25:41.449, 37.46
0, 2024/08/08 23:25:41.952, 37.45
0, 2024/08/08 23:25:42.455, 37.45
0, 2024/08/08 23:25:42.958, 37.45
0, 2024/08/08 23:25:43.462, 37.45
0, 2024/08/08 23:25:43.965, 37.45
0, 2024/08/08 23:25:44.468, 37.45
0, 2024/08/08 23:25:44.971, 37.45
0, 2024/08/08 23:25:45.474, 37.75
0, 2024/08/08 23:25:45.978, 37.45
0, 2024/08/08 23:25:46.481, 37.45
0, 2024/08/08 23:25:46.984, 37.45
0, 2024/08/08 23:25:47.487, 37.45
0, 2024/08/08 23:25:47.990, 37.45
0, 2024/08/08 23:25:48.493, 37.45
0, 2024/08/08 23:25:48.997, 37.45
0, 2024/08/08 23:25:49.500, 37.77
0, 2024/08/08 23:25:50.003, 37.74
0, 2024/08/08 23:25:50.507, 37.84
0, 2024/08/08 23:25:51.011, 37.84
0, 2024/08/08 23:25:51.514, 37.45
0, 2024/08/08 23:25:52.017, 37.45
0, 2024/08/08 23:25:52.520, 37.76
0, 2024/08/08 23:25:53.024, 37.45
0, 2024/08/08 23:25:53.527, 37.47
0, 2024/08/08 23:25:54.031, 37.72
0, 2024/08/08 23:25:54.534, 37.56
0, 2024/08/08 23:25:55.038, 37.83
0, 2024/08/08 23:25:55.541, 37.47
0, 2024/08/08 23:25:56.045, 37.55
0, 2024/08/08 23:25:56.548, 37.57
0, 2024/08/08 23:25:57.051, 37.53
0, 2024/08/08 23:25:57.554, 37.43
0, 2024/08/08 23:25:58.057, 37.45
0, 2024/08/08 23:25:58.561, 37.84
0, 2024/08/08 23:25:59.064, 37.46
0, 2024/08/08 23:25:59.567, 37.55
